timestamp,device_id,failure_mode,state,current,health_percent,life_consumed_pct,measurement_id,operating_hours,pressure,rpm,rul_hours,temperature,vibration_rms,vibration_x,vibration_y,vibration_z
2026-02-19 18:15:52.096811+00:00,PUMP-001,none,HEALTHY,8.31,96.4,10.9,782,1,4.18,2869,9999,43.4,1.94,1.41,0.81,1.06
2026-02-19 18:15:57.097711+00:00,PUMP-001,none,HEALTHY,8.38,96.4,10.9,783,1,4.2,2849,9999,42.9,1.73,1.21,0.69,1.03
2026-02-19 18:16:02.253242+00:00,PUMP-001,none,HEALTHY,8.42,96.4,10.9,784,1,4.15,2866,9999,43.3,1.99,1.39,0.96,1.05
2026-02-19 18:16:07.336638+00:00,PUMP-001,none,HEALTHY,8.29,96.4,10.9,785,1,4.14,2875,9999,43.5,1.63,1.06,0.71,1.01
2026-02-19 18:16:12.456592+00:00,PUMP-001,none,HEALTHY,8.32,96.4,10.9,786,1,4.12,2853,9999,43.2,1.91,1.38,0.82,1.03
2026-02-19 18:16:17.500727+00:00,PUMP-001,none,HEALTHY,8.36,96.4,10.9,787,1,4.11,2865,9999,43.2,1.71,1.13,0.87,0.95
2026-02-19 18:16:22.717111+00:00,PUMP-001,none,HEALTHY,8.29,96.4,10.9,788,1,4.14,2825,9999,42.9,1.95,1.4,0.89,1.03
2026-02-19 18:16:27.717856+00:00,PUMP-001,none,HEALTHY,8.25,96.4,11.0,789,1,4.2,2822,9999,42.8,1.76,1.3,0.67,0.98
2026-02-19 18:16:33.146887+00:00,PUMP-001,none,HEALTHY,8.41,96.4,11.0,790,1,4.19,2835,9999,43.7,1.78,1.16,0.81,1.07
2026-02-19 18:16:37.956677+00:00,PUMP-001,none,HEALTHY,8.31,96.4,11.0,791,1,4.2,2871,9999,43.7,1.93,1.31,0.94,1.05
2026-02-19 18:16:43.087917+00:00,PUMP-001,none,HEALTHY,8.35,96.4,11.0,792,1,4.14,2879,9999,43.7,1.87,1.21,0.95,1.06
2026-02-19 18:16:48.213974+00:00,PUMP-001,none,HEALTHY,8.34,96.3,11.0,793,1,4.12,2827,9999,43.1,1.86,1.24,0.89,1.06
2026-02-19 18:16:53.553952+00:00,PUMP-001,none,HEALTHY,8.43,96.3,11.0,794,1,4.17,2851,9999,43.5,1.68,1.05,0.75,1.08
2026-02-19 18:16:58.436798+00:00,PUMP-001,none,HEALTHY,8.32,96.3,11.0,795,1,4.12,2880,9999,43.2,1.71,1.16,0.83,0.96
2026-02-19 18:17:03.556962+00:00,PUMP-001,none,HEALTHY,8.43,96.3,11.1,796,1,4.15,2864,9999,43.7,1.67,1.09,0.82,0.97
2026-02-19 18:17:08.676733+00:00,PUMP-001,none,HEALTHY,8.41,96.3,11.1,797,1,4.18,2880,9999,43.3,1.67,1.13,0.68,1.03
2026-02-19 18:17:13.915742+00:00,PUMP-001,none,HEALTHY,8.35,96.3,11.1,798,1,4.14,2849,9999,42.9,1.59,1.13,0.67,0.91
2026-02-19 18:17:18.916825+00:00,PUMP-001,none,HEALTHY,8.31,96.3,11.1,799,1,4.16,2846,9999,43.3,1.77,1.09,0.93,1.05
2026-02-19 18:17:24.137729+00:00,PUMP-001,none,HEALTHY,8.44,96.3,11.1,800,1,4.18,2830,9999,43.1,1.55,1.05,0.69,0.91
2026-02-19 18:17:29.264969+00:00,PUMP-001,none,HEALTHY,8.43,96.3,11.1,801,1,4.15,2857,9999,43.4,1.81,1.33,0.72,1.0
2026-02-19 18:17:34.276739+00:00,PUMP-001,none,HEALTHY,8.44,96.3,11.1,802,1,4.18,2838,9999,43.6,1.9,1.36,0.92,0.97
2026-02-19 18:17:39.307882+00:00,PUMP-001,none,HEALTHY,8.44,96.3,11.2,803,1,4.19,2869,9999,43.2,1.8,1.14,0.94,1.04
2026-02-19 18:17:44.635766+00:00,PUMP-001,none,HEALTHY,8.43,96.3,11.2,804,1,4.12,2846,9999,43.4,1.71,1.2,0.71,0.99
2026-02-19 18:17:49.655066+00:00,PUMP-001,none,HEALTHY,8.33,96.3,11.2,805,1,4.17,2826,9999,43.4,1.78,1.37,0.68,0.92
2026-02-19 18:17:54.756663+00:00,PUMP-001,none,HEALTHY,8.26,96.3,11.2,806,1,4.19,2824,9999,43.4,1.79,1.22,0.72,1.1
2026-02-19 18:17:59.776567+00:00,PUMP-001,none,HEALTHY,8.32,96.2,11.2,807,1,4.1,2824,9999,43.1,1.89,1.39,0.85,0.96
2026-02-19 18:18:04.922898+00:00,PUMP-001,none,HEALTHY,8.27,96.2,11.2,808,1,4.16,2876,9999,43.3,1.7,1.19,0.67,1.01
2026-02-19 18:18:10.016790+00:00,PUMP-001,none,HEALTHY,8.42,96.2,11.2,809,1,4.17,2826,9999,42.8,1.78,1.23,0.92,0.91
2026-02-19 18:18:15.137954+00:00,PUMP-001,none,HEALTHY,8.35,96.2,11.3,810,1,4.13,2822,9999,43.5,1.68,1.19,0.72,0.95
2026-02-19 18:18:20.243939+00:00,PUMP-001,none,HEALTHY,8.28,96.2,11.3,811,1,4.17,2854,9999,43.2,1.85,1.21,0.9,1.07
2026-02-19 18:18:25.386096+00:00,PUMP-001,none,HEALTHY,8.37,96.2,11.3,812,1,4.12,2872,9999,43.0,1.8,1.16,0.95,1.01
2026-02-19 18:18:30.496826+00:00,PUMP-001,none,HEALTHY,8.44,96.2,11.3,813,1,4.16,2864,9999,43.7,1.82,1.28,0.89,0.94
2026-02-19 18:18:35.616667+00:00,PUMP-001,none,HEALTHY,8.36,96.2,11.3,814,1,4.11,2823,9999,43.5,1.83,1.18,0.89,1.08
2026-02-19 18:18:40.736591+00:00,PUMP-001,none,HEALTHY,8.39,96.2,11.3,815,1,4.11,2866,9999,43.7,1.84,1.28,0.84,1.02
2026-02-19 18:18:46.076834+00:00,PUMP-001,none,HEALTHY,8.25,96.2,11.3,816,1,4.13,2835,9999,42.8,1.91,1.36,0.86,1.03
2026-02-19 18:18:51.076789+00:00,PUMP-001,none,HEALTHY,8.42,96.2,11.3,817,1,4.1,2869,9999,43.5,1.87,1.36,0.75,1.05
2026-02-19 18:18:56.096852+00:00,PUMP-001,none,HEALTHY,8.37,96.2,11.4,818,1,4.11,2873,9999,42.8,1.72,1.16,0.88,0.92
2026-02-19 18:19:01.324856+00:00,PUMP-001,none,HEALTHY,8.3,96.2,11.4,819,1,4.1,2824,9999,43.4,1.9,1.36,0.95,0.93
2026-02-19 18:19:06.446101+00:00,PUMP-001,none,HEALTHY,8.37,96.2,11.4,820,1,4.14,2854,9999,43.4,1.71,1.11,0.85,0.98
2026-02-19 18:19:11.557673+00:00,PUMP-001,none,HEALTHY,8.36,96.1,11.4,821,1,4.1,2838,9999,43.1,1.79,1.24,0.72,1.07
2026-02-19 18:19:16.576755+00:00,PUMP-001,none,HEALTHY,8.28,96.1,11.4,822,1,4.11,2868,9999,43.7,1.62,1.11,0.72,0.93
2026-02-19 18:19:21.696738+00:00,PUMP-001,none,HEALTHY,8.35,96.1,11.4,823,1,4.12,2852,9999,43.1,1.71,1.19,0.67,1.03
2026-02-19 18:19:26.916969+00:00,PUMP-001,none,HEALTHY,8.26,96.1,11.4,824,1,4.15,2854,9999,43.2,1.66,1.08,0.8,0.98
2026-02-19 18:19:31.936624+00:00,PUMP-001,none,HEALTHY,8.37,96.1,11.5,825,1,4.15,2858,9999,43.0,1.8,1.35,0.72,0.96
2026-02-19 18:19:37.072813+00:00,PUMP-001,none,HEALTHY,8.27,96.1,11.5,826,1,4.16,2831,9999,43.6,1.78,1.33,0.7,0.96
2026-02-19 18:19:42.085290+00:00,PUMP-001,none,HEALTHY,8.29,96.1,11.5,827,1,4.17,2876,9999,43.5,1.79,1.25,0.9,0.91
2026-02-19 18:19:47.217933+00:00,PUMP-001,none,HEALTHY,8.34,96.1,11.5,828,1,4.14,2868,9999,43.6,1.82,1.21,0.81,1.1
2026-02-19 18:19:52.324847+00:00,PUMP-001,none,HEALTHY,8.44,96.1,11.5,829,1,4.16,2836,9999,43.3,1.92,1.34,0.86,1.07
2026-02-19 18:19:57.451839+00:00,PUMP-001,none,HEALTHY,8.34,96.1,11.5,830,1,4.17,2835,9999,43.4,1.86,1.25,0.86,1.08
